infinitive,mood,tense,form_2s,form_3s,form_2p,form_3p
combinar,Indicativo,Presente,combinas,combina,combináis,combinan
combinar,Imperativo Afirmativo,Presente,combina,combine,combinad,combinen
adobar,Indicativo,Presente,adobas,adoba,adobáis,adoban
adobar,Imperativo Afirmativo,Presente,adoba,adobe,adobad,adoben
disolver,Indicativo,Presente,disuelves,disuelve,disolvéis,disuelven
disolver,Imperativo Afirmativo,Presente,disuelve,disuelva,disolved,disuelvan
ablandar,Indicativo,Presente,ablandas,ablanda,ablandáis,ablandan
ablandar,Imperativo Afirmativo,Presente,ablanda,ablande,ablandad,ablanden
remover,Indicativo,Presente,remueves,remueve,removéis,remueven
remover,Imperativo Afirmativo,Presente,remueve,remueva,removed,remuevan
mondar,Indicativo,Presente,mondas,monda,mondáis,mondan
mondar,Imperativo Afirmativo,Presente,monda,monde,mondad,monden
pelar,Indicativo,Presente,pelas,pela,peláis,pelan
pelar,Imperativo Afirmativo,Presente,pela,pele,pelad,pelen
cernir,Indicativo,Presente,ciernes,cierne,cernís,ciernen
cernir,Imperativo Afirmativo,Presente,cierne,cierna,cernid,ciernan
rebanar,Indicativo,Presente,rebanas,rebana,rebanáis,rebanan
rebanar,Imperativo Afirmativo,Presente,rebana,rebane,rebanad,rebanen
incorporar,Indicativo,Presente,incorporas,incorpora,incorporáis,incorporan
incorporar,Imperativo Afirmativo,Presente,incorpora,incorpore,incorporad,incorporen
majar,Indicativo,Presente,maja,maja,majáis,majan
majar,Imperativo Afirmativo,Presente,maja,maje,majad,majen
colar,Indicativo,Presente,cuelas,cuela,coláis,cuelan
colar,Imperativo Afirmativo,Presente,cuela,cuele,colad,cuelen
amasar,Indicativo,Presente,amasas,amasa,amasáis,amasan
amasar,Imperativo Afirmativo,Presente,amasa,amase,amasad,amasen
rallar,Indicativo,Presente,rallas,ralla,ralláis,rallan
rallar,Imperativo Afirmativo,Presente,ralla,ralle,rallad,rallen
moler,Indicativo,Presente,muelas,muela,moléis,muelen
moler,Imperativo Afirmativo,Presente,muela,muela,moled,muelan
sofreír,Indicativo,Presente,sofries,sofrie,sofreís,sofrien
sofreír,Imperativo Afirmativo,Presente,sofrie,sofria,sofreíd,sofrian
freír,Indicativo,Presente,fries,frie,freís,frien
freír,Imperativo Afirmativo,Presente,fríe,fría,freí,frían
remojar,Indicativo,Presente,remojas,remoja,remojáis,remojan
remojar,Imperativo Afirmativo,Presente,remoja,remoje,remojad,remojen
desmoronar,Indicativo,Presente,desmoronas,desmorona,desmoronáis,desmoronan
desmoronar,Imperativo Afirmativo,Presente,desmoróna,desmoróne,desmorona,desmorónen
picar,Indicativo,Presente,picas,pica,picáis,pican
picar,Imperativo Afirmativo,Presente,pica,pique,picad,piquen
saltear,Indicativo,Presente,salteas,saltea,salteáis,saltean
saltear,Imperativo Afirmativo,Presente,saltea,saltee,saltead,salteen
rociar,Indicativo,Presente,rocías,rocía,rociáis,rocían
rociar,Imperativo Afirmativo,Presente,rocía,rocíe,rociad,rocíen
forrar,Indicativo,Presente,forras,forra,forráis,forran
forrar,Imperativo Afirmativo,Presente,forras,forre,forrad,forren
cernir,,,,,,
cernir,,,,,,
